project,regime,algorithm,workers,reps,median_s,mean_s,std_s,run_cv,planned_s,planned_to_exec_ratio,overhead_us,overhead_share_pct,native_s,seq_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,exec_success_count,exec_error_count,result_dir
cli,warm,LPT,8,5,29.579009815,29.569146876,0.148120051,0.00500927712325115,3.019,0.10206562081970086,68.04,0.00023002798411965705,20.119313099,137.960627566,-43.53645766088096,-40.27496807634513,0.0,-47.017990472399276,5,0,20260707-131039
cli,warm,Quantity,8,5,21.086449151,21.027919999,0.101695537,0.00483621475661103,4.461999998,0.21160509130995128,12.37,5.866326715995883e-05,20.119313099,137.960627566,-2.325068848178779,0.0,28.71144340908019,-4.8070033367494585,5,0,20260707-131039
cli,warm,Round-Robin,8,5,20.607314892,20.664866592,0.089260432,0.004319429385261816,4.041,0.19609541666045796,10.74,5.2117415860760164e-05,20.119313099,137.960627566,0.0,2.2722377559584332,30.33128890761686,-2.425539036043222,5,0,20260707-131039
goreleaser,cold,FFD-Multifit,2,5,560.434011976,560.442176124,3.224382265,0.005753282679936267,41.551999999,0.07414253794571524,129.54,2.3114228835481064e-05,358.030031057,735.139927191,-13.696077560689515,-5.212670443877757,-8.480851146143165,-56.532682557787,5,0,20260705-230606
goreleaser,cold,LPT,2,5,516.620220117,516.834287369,3.321767084,0.006427141474900609,41.553499998,0.08043335970974828,37.59,7.276137970652197e-06,358.030031057,735.139927191,-4.807508753337955,3.012679811907616,0.0,-44.295219759024015,5,0,20260705-230606
goreleaser,cold,Quantity,2,5,532.667795249,531.165272409,2.451107907,0.004614586145444829,70.288499998,0.13195560276953303,8.06,1.5131382208365506e-06,358.030031057,735.139927191,-8.063104073892841,0.0,-3.10626152580046,-48.777406653967795,5,0,20260705-230606
goreleaser,cold,Round-Robin,2,5,492.92290816,495.270254556,6.81222805,0.01375456730408134,59.656999999,0.12102703893736598,8.731,1.7712708935746941e-06,358.030031057,735.139927191,0.0,7.4614773867492685,4.586988862269703,-37.67641409988999,5,0,20260705-230606
goreleaser,cold,FFD-Multifit,4,5,499.873319002,501.649601841,4.0314616,0.008036409448357918,34.211,0.06843933992776902,151.04,3.021565549878762e-05,186.66343528,735.139927191,-12.236413207197765,-6.118456187977005,-5.645841679691017,-167.79391381722783,5,0,20260705-230606
goreleaser,cold,LPT,4,5,473.159483662,473.227236162,3.253232293,0.0068745668981028815,34.211,0.07230331670671641,30.16,6.374172143095985e-06,186.66343528,735.139927191,-6.238363406189509,-0.44735741679158014,0.0,-153.48268285765155,5,0,20260705-230606
goreleaser,cold,Quantity,4,5,471.052196723,471.530899363,2.414032631,0.005119564029125476,47.799,0.10147283110561094,8.71,1.8490519862965152e-06,186.66343528,735.139927191,-5.765214873069283,0.0,0.44536504323885406,-152.35375959753955,5,0,20260705-230606
goreleaser,cold,Round-Robin,4,5,445.37535076,446.632577929,4.20625154,0.009417699800368473,55.3195,0.1242087149762585,9.48,2.1285416859785983e-06,186.66343528,735.139927191,0.0,5.45095557172386,5.872043964323774,-138.59806827830283,5,0,20260705-230606
goreleaser,cold,FFD-Multifit,8,5,501.146720061,500.042071266,2.850611242,0.005700742809065764,34.211,0.06826543730713394,138.43,2.7622649108259192e-05,112.982282705,735.139927191,-19.171702902928498,-18.727505962966184,-22.08091326400496,-343.5622188387789,5,0,20260705-230606
goreleaser,cold,LPT,8,5,410.50374433,410.69756038,3.490152868,0.008498109569413362,34.211,0.08333906930821587,34.91,8.504185523807595e-06,112.982282705,735.139927191,2.3830181830186463,2.7468727185771407,0.0,-263.3346171645665,5,0,20260705-230606
